already complexed:  909009694.xml | 11670 | Alföldi Tej Értékesítő És Beszerző Kft. | Alföldi Tej Értékesítő és Beszerző Korlátolt Felelősségű Társaság
MATCHED:     | 1609002436.xml | 5089 | SZEKURITÁS Ipari, Kereskedelmi és Szolgáltató Kft. | SZEKURITÁS Ipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1310040768.xml | 1286 | Axioma-Invest Rt. | AXIOMA-INVEST Vagyonkezelő, Számviteli, Szolgáltató és Kereskedelmi Részvénytársaság "felszámolás alatt "
MATCHED:     | 809007456.xml | 6639 | Farm Tojás Kft. | FARM TOJÁS Termelő, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109263353.xml | 6775 | Csertex Kft. | CSERTEX Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1210001530.xml | 3169 | Salgótarjáni Acélárugyár Rt. | Salgótarjáni Acélárugyár Zártkörűen Működő Részvénytársaság
MATCHED:     | 109691194.xml | 596 | Rumed 2000 Kft. | RUMED Ingatlanforgalmazó és Szolgáltató Korlátolt Felelősségű TársaságRUMED 2000 Ingatlanforgalmazó és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 609007780.xml | 7210 | Szeged Beton Kft. | SZEGED BETON Általános és Közműépítő Korlátolt Felelősségű Társaság
MATCHED:     | 109912992.xml | 4639 | Budapesti Kereskedelmi és Iparkamara Szolgáltató Nonprofit Kft. | Budapesti Kereskedelmi és Iparkamara Szolgáltató Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 1906505181.xml | 2456 | Prevision Bt. | PREVISION Kutató és Fejlesztő Holding Szolgáltató Betéti Társaság
MATCHED:     | 810001566.xml | 2768 | INSZOL Zrt. | INSZOL Győri Vagyongazdálkodó és Szolgáltató Zártkörűen Működő Részvénytársaság
MATCHED:     | 109881805.xml | 1623 | Best Invest Kft. | Best 08 Invest Bonyolító és Építőipari Korlátolt Felelősségű Társaság
MATCHED:     | 106731476.xml | 3563 | Fantagro Bt. | FANTAGRO Szolgáltató Betéti Társaság "végelszámolás alatt"
MATCHED:     | 109890320.xml | 7237 | „Aktivitás TISZK” Nonprofit Korlátolt Felelősségű Társaság | "Aktivitás TISZK" Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 109065334.xml | 6503 | KKSZ Kft. | KKSZ Korrózió- és Környezetvédelmi Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1109007412.xml | 702 | Ipolyholding Kft. | IPOLYHOLDING Korlátolt Felelősségű Társaság
MATCHED:     | 1509064770.xml | 11606 | Agro-Vid Kft. | AGRO-VID Mezőgazdasági Kereskedelmi Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 909016786.xml | 6623 | Debreceni Sportcentrum Kiemelkedően Közhasznú Nonprofit Kft. | Debreceni Sportcentrum Kiemelkedően Közhasznú Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 709003062.xml | 17434 | Pálhalmai Agrospeciál Kft. | Pálhalmai Agrospeciál Mezőgazdasági Termelő, Értékesítő és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109061202.xml | 5500 | Lab-Comp Kft. | "LAB-COMP" Szerviz KFT.
MATCHED:     | 909001388.xml | 4601 | Harmónia 91 Kft. | Harmónia 91 Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109366110.xml | 2911 | Constreal Mérnöki Iroda Kft. | CONSTREAL Mérnöki Iroda Korlátolt felelősségű Társaság
MATCHED:     | 109363300.xml | 5463 | Dél-Pesti T és T. Kft. | DÉL-PESTI T. és T. ÉPÍTŐIPARI, KERESKEDELMI ÉS SZOLGÁLTATÓ KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG
MATCHED:     | 106776097.xml | 928 | Horváth Televízió Bt. | Horváth Televízió Betéti Társaság
MATCHED:     | 110041684.xml | 2865 | ING Bank Rt. | ING Bank zártkörűen működő részvénytársaság
MATCHED:     | 1309096081.xml | 3585 | DAM 2004 Kft. | DAM 2004 Acél- és Hengermű Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1609005632.xml | 5677 | UR-FA Ipari Kereskedelmi és Szolgáltató Kft. | UR-FA Ipari Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109696350.xml | 1965 | Reartech Kft. | REARTECH Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1309102716.xml | 6207 | BONEX Építőipari Kft. | BONEX 2003 Építőipari Korlátolt Felelősségű Társaság
MATCHED:     | 109688488.xml | 2503 | Gulden-Co Kft. | GULDEN-CO Gazdasági Szolgáltató és Kereskedelmi Kft.
MATCHED:     | 1509064155.xml | 3208 | Kelet-Trans 2000 Kft. | "KELET-TRANS 2000" Fuvarozó és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109707380.xml | 3054 | Kurzen Kereskedelmi Kft. | KURZEN Kereskedelmi Korlátolt Felelősségű Társaság Végelszámolás alatt.
MATCHED:     | 109866871.xml | 3538 | Reneszánsz Kastélyszálló Kft. | Reneszánsz Kastélyszálló, Pincészet és Szőlőbirtok Korlátolt Felelősségű Társaság
MATCHED:     | 309116854.xml | 4974 | K&H BANK Zrt. | ,, BULIKOV " Használtcikk Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1409303019.xml | 6602 | FŐÉPMESTER Kft. | FŐÉPMESTER Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109867356.xml | 6608 | Iparterv-ZKK Kft. | Iparterv-ZKK Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109569209.xml | 330 | Főkert Parkfenntartó Kft. | FŐKERT Parkfenntartó - Kertészeti és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1809107060.xml | 6914 | BUILD-ÉP Kft. | BUILD-ÉP Kereskedelmi és Építőipari Korlátolt Felelősségű Társaság
MATCHED:     | 110045230.xml | 6040 | NEGA 97 Zrt. | NEGA 97 Beruházó és Fővállalkozó Zártkörűen Működő Részvénytársaság
MATCHED:     | 909018048.xml | 2449 | Héliker Kft. | HÉLIKER INGATLAN Korlátolt Felelősségű Társaság
MATCHED:     | 309000330.xml | 6251 | Modinvest Kft. | Modinvest Épitőipari-Beruháró-és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 2009064199.xml | 3305 | Atrium 99 Kft. | "ATRIUM '99" Ingatlanforgalmazási, Kereskedelmi és Szolgálatató Korlátolt Felelősségű Társaság "felszámolás alatt"
MATCHED:     | 109664464.xml | 3571 | Clar-bau Kft. | CLAR- BAU Építőipari, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 106714950.xml | 1845 | Molax Bt. | MOLAX Informatikai Szolgáltató és Könyvelő Betéti Társaság
MATCHED:     | 2009069695.xml | 5547 | Lenti és Vidéke Fejlesztési Ügynökség Közhasznú Nonprofit Kft. | Lenti és Vidéke Fejlesztési Ügynökség Közhasznú Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 110044367.xml | 2512 | Liberatio Rt. | LIBERATIO Gazdasági Tanácsadó Részvénytársaság
MATCHED:     | 106779482.xml | 1327 | Csanak Bt. | Csanak'2001 Szolgáltató Betéti Társaság
MATCHED:     | 609006577.xml | 6041 | Generál Nyomda Kft. | GENERÁL NYOMDA Korlátolt Felelősségű Társaság
MATCHED:     | 109726037.xml | 1245 | Hajnal Király Kft. | HAJNAL KIRÁLY Ingatlanforgalmazó és Beruházó Korlátolt Felelősségű Társaság
MATCHED:     | 1309108683.xml | 321 | Estivo Kft. | ESTIVO GASTRONOMIA Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 909016031.xml | 6825 | Főnix Bird Kft. | Főnix Bird Építőipari és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109264960.xml | 3320 | Euram Kft. | EURAM Egészségügyi Szervező és Management kft.EURAM Egészségügyi Szervező és Üzletvezetésfejlesztő Korlátolt Felelősségű Társaság
MATCHED:     | 1914500058.xml | 20539 | KAB-HEGY 2004 Környezetgazdálkodási és Természetvédelmi Közhasznú Társaság | KAB-HEGY 2004 Környezetgazdálkodási és Természetvédelmi Közhasznú Társaság
MATCHED:     | 109673168.xml | 20291 | UNIQA Plaza Irodaház és Ingatlankezelő Kft. | Uniqa Plaza Irodaház és Ingatlankezelő Kft.
MATCHED:     | 109718891.xml | 4693 | Haldex Hungary Kft | Haldex Hungary Ipari és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 306104899.xml | 3351 | Vidám Magyar-Rock Bt. | VIDÁM MAGYAR-ROCK Kereskedelmi és Szolgáltató Betéti Társaság "felszámolás alatt"
MATCHED:     | 1309076892.xml | 5220 | Szabadi és Társa Kft. | SZABADI és társa Innovációs, Technológiai és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 310100059.xml | 6526 | Royal II. Sütőipari Zrt. | ROYAL II. Sütőipari Zártkörűen Működő Részvénytársaság
MATCHED:     | 109677888.xml | 5775 | PROVICE Üzleti és Informatikai Szolgáltató és Tanácsadó Kft. | PROVICE Üzleti és Informatikai Szolgáltató és Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 110041187.xml | 1103 | Gastorg Rt. | Gastorg Vendéglátó és Szolgáltató RészvénytársaságGastorg Vendéglátó és Szolgáltató Részvénytársaság "végelszámolás alatt"
MATCHED:     | 1309096398.xml | 1946 | HBK Pannonbusz Kft. | HBK PANNONBUSZ Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109660494.xml | 5697 | Bio-Science Kft. | BIO-SCIENCE Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 410001541.xml | 21332 | Körös-Tiszavölgyi Szerkezet- és Vízépítő Részvénytársaság | "KÖRÖS-TISZAVÖLGYI" Szerkezet- és Vízépítő Részvénytársaság
MATCHED:     | 109263954.xml | 3380 | Félix Film Kft. | FÉLIX FILM Korlátolt Felelősségű Társaság
MATCHED:     | 1709003607.xml | 7089 | Kópis és Társa Szerelő és Karbantartó Kft. | Kópis és Társa Szerelő és Karbantartó Korlátolt Felelősségű Társaság
MATCHED:     | 109079101.xml | 4079 | ABB Mérnöki Kereskedelmi és Szolgáltató Kft. | ABB Mérnöki Kereskedelmi és Szolgáltató Kft.
MATCHED:     | 609012821.xml | 6300 | Megyeszolgálat Nonprofit Kft. | Megyeszolgálat Szolgáltató és Kereskedelmi Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 109667493.xml | 6299 | Leonardo Kft. | "Leonardo" Informatikai és Kereskedelmi Korlátolt Felelősségű Társaság"Leonardo" Informatikai és Kereskedelmi Korlátolt Felelősségű Társaság "felszámolás alatt"
MATCHED:     | 209065450.xml | 2810 | ARC Kft. | "Arc, Száj, Fog" Egészségügyi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 609000425.xml | 3564 | Németh Toll Kft. | NÉMETH TOLL Feldolgozóipari Korlátolt Felelősségű Társaság
MATCHED:     | 110042497.xml | 38 | Betonút Rt. | Betonút Szolgáltató és Építő Zártkörűen Működő Részvénytársaság
MATCHED:     | 110044772.xml | 581 | MÁV-MTM Rt. | MÁV MTM Mélyépítő Tervező Magasépítő Kereskedelmi és Ügyviteli Szolgáltató Részvénytársaság
MATCHED:     | 1309092012.xml | 2120 | Arany-Konda Kft. | ARANY - KONDA Mezőgazdasági és Állattenyésztési Korlátolt Felelősségű Társaság "felszámolás alatt"
MATCHED:     | 109365521.xml | 6837 | Paul-Baromfi Élelmiszer nagykereskedelmi Kft. | PAUL-BAROMFI Élelmiszer Nagykereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1209003817.xml | 6734 | Ambrózia Group Kft. | Ambrózia Group Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1309074746.xml | 1952 | Érd-Kom Kft. | ÉRD-KOM Érdi Kommunális Hulladékkezelő Korlátolt Felelősségű Társaság
MATCHED:     | 109864807.xml | 6532 | PRINTREX Számítástechnikai és Irodatechnikai Kft. | PRINTREX Számítástechnikai és Irodatechnikai Korlátolt Felelősségű Társaság
MATCHED:     | 909010546.xml | 996 | Dexium Kft. | DEXIUM Ingatlanfejlesztő Korlátolt Felelősségű Társaság
MATCHED:     | 106775936.xml | 2991 | Bichos Bt. | Bichos Kereskedelmi és Szolgáltató Betéti Társaság
MATCHED:     | 109267117.xml | 2090 | Pannon Konzult Kft. | "PANNON KONZULT Vagyonkezelő és Befektetési Korlátolt Felelősségű Társaság"
MATCHED:     | 610000333.xml | 5963 | Főszer Electric Zrt. | FŐSZER ELECTRIC Szerelőipari, Általános Építőipari, Kereskedelmi, Szolgáltató és Villamos Fővállalkozó Zártkörűen Működő Részvénytársaság
MATCHED:     | 110042111.xml | 2946 | Grafika Kereskedelmi Rt. | Grafika Kereskedelmi Zártkörűen működő részvénytársaság
MATCHED:     | 2009064894.xml | 3885 | AUTÓ LÁBODI Kft. | Lábodi Services Korlátolt Felelősségű Társaság
MATCHED:     | 909003139.xml | 862 | Nagymester Kft. | "NAGYMESTER" Mélyépítési, Útépítési és Szállítmányozási Korlátolt Felelősségű Társaság
MATCHED:     | 109716092.xml | 3075 | Benzinklub Kft. | "Benzinklub" Üzemanyag-kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 106317929.xml | 2075 | Oped Bt. | OPED Gazdasági Tanácsadó és Szolgáltató Betéti Társaság
MATCHED:     | 810001675.xml | 2955 | Magyaróvári Timföld és Műkorund Rt. | Magyaróvári Timföld és Műkorund Zártkörűen Működő Részvénytársaság
MATCHED:     | 1110001423.xml | 7255 | AVE Tatabánya Zrt. | AVE Tatabánya Hulladékgazdálkodási és Környezetvédelmi Zártkörűen Működő Részvénytársaság
MATCHED:     | 509005632.xml | 7093 | Pentamen Kft. | PENTAMEN Bútorház Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109930874.xml | 417 | Hungarian Energy Power Kft. | Hungarian Energy Power Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109464595.xml | 2068 | Köztigon Kft. | KÖZTIGON Építész Stúdió Korlátolt Felelősségű Társaság
MATCHED:     | 109067062.xml | 3315 | Infocopy Kft. | Infocopy Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109676505.xml | 738 | Kőbánya-Gergely Utca Ingatlanfejlesztő Kft. | Kőbánya-Gergely Utca Ingatlanfejlesztő Korlátolt Felelősségű Társaság
MATCHED:     | 709003543.xml | 683 | Kortex Kft. | "KORTEX PLUSZ 2000" Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109075265.xml | 1841 | Pannonsped Kft. | "PANNONSPED 91" Szállítmányozási Olasz-Magyar Korlátolt Felelősségű Társaság felszámolás alatt
MATCHED:     | 1509062896.xml | 7402 | Karakter 95 Kft. | "KARAKTER 95" Épitő és Szakipari Korlátolt Felelősségű Társaság
MATCHED:     | 1709003973.xml | 7296 | DC Dunakom Kft. | DC Dunakom Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109070994.xml | 5601 | MEDTECH Kft. | "MEDTECH" Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 309109948.xml | 7572 | Gladiolus Kereskedelmi és Szolgáltató Kft. | GLADIOLUS Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 809008208.xml | 5070 | Ferona Kft. | FERONA Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109162875.xml | 3325 | Videopress Kft. | VIDEOPRESS Reklámstúdió Korlátolt Felelősségű Társaság
MATCHED:     | 109726041.xml | 622 | Király Palace Kft. | KIRÁLY PALACE Ingatlanforgalmazó és Beruházó Korlátolt Felelősségű Társaság
MATCHED:     | 710001263.xml | 11647 | Alba Agrár Zrt. | ALBA AGRÁR Termelő és Szolgáltató Zártkörűen Működő Részvénytársaság
MATCHED:     | 509013273.xml | 2643 | Cardnet-Invest Kft. | Cardnet-Invest Vagyonkezelő Korlátolt Felelősségű Társaság
MATCHED:     | 510000061.xml | 2744 | Hollóházi Porcelán Zrt. | Hollóházi Porcelán Manufaktúra RészvénytársaságHollóházi Porcelán Manufaktúra Zártkörűen Működő Részvénytársaság "felszámolás alatt"
MATCHED:     | 109066276.xml | 3094 | Ricoh Hungary Kft. | RICOH HUNGARY IRODARENDSZEREK Kft.
MATCHED:     | 910000331.xml | 20477 | OBLIGO EAST-AUDIT Könyvvizsgáló és Adószakértő Részvénytársaság | EAST-AUDIT Igazságügyi Adó-, Járulék-, és Könyvszakértő, Tanácsadó Zártkörűen Működő Részvénytársaság
MATCHED:     | 309107954.xml | 17061 | Nemesnádudvari Állattenyésztő Kft. | NEMESNÁDUDVARI ÁLLATTENYÉSZTŐ Korlátolt Felelősségű Társaság
MATCHED:     | 909012344.xml | 7232 | Nívó Generál Építőipari, Kereskedelmi és Szolgáltató Kft. | NÍVÓ GENERÁL Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109682236.xml | 7586 | PALISZANDER Kft. | PALISZANDER Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1106007117.xml | 3457 | Classic Media Online Bt. | Classic Media Online Betéti Társaság
MATCHED:     | 109168470.xml | 370 | MÁV Hídépítő Kft. | MÁV HÍDÉPITŐ Acélszerkezet, Híd és Mélyépítő Korlátolt Felelősségű Társaság "felszámolás alatt "
MATCHED:     | 110043683.xml | 1116 | Bre-Wor Observer Brókerház Rt. | Bre-Wor Observer Brókerház Értékpapírkereskedő és Tanácsadó Részvénytársaság
MATCHED:     | 109696311.xml | 5975 | MagiCom Kft. | MagiCom Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109883096.xml | 3520 | Coral Construction Kft. | Coral Construction Mérnöki, Műszaki-Ellenőr és Építő Korlátolt Felelősségű Társaság
MATCHED:     | 1109005820.xml | 4094 | Cs-Profit Kft. | PROFIT Kereskedelmi és Szolgáltató Korlátolt Felelősségű TársaságCS-PROFIT Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109869112.xml | 4253 | Complexlab Kft. | COMPLEXLAB Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109881874.xml | 5626 | VORTEX ÉPÍTŐ Építőipari és Generálkivitelező Kft. | VORTEX ÉPÍTŐ Építőipari és Generálkivitelező Kft.
MATCHED:     | 110041662.xml | 328 | Hungalu Rt. | HUNGALU Magyar Aluminiumipari Részvénytársaság
MATCHED:     | 106739569.xml | 2425 | UNIV-PLUS Bt. | UNIV-PLUS Tudományos és Üzleti Tanácsadó Betéti Társaság
MATCHED:     | 609010805.xml | 5072 | EDF DÉMÁSZ Hálózati Elosztó Kft. | EDF DÉMÁSZ Hálózati Elosztó Kft.
MATCHED:     | 1709001678.xml | 23221 | Tolna Megyei Építő- és Környezetvédelmi Kft. | Tolna Megyei Építő- és Környezetvédelmi Korlátolt Felelősségű Társaság
MATCHED:     | 810001787.xml | 3712 | Győr-Sopron-Ebenfurti Vasút Zrt. | Győr-Sopron-Ebenfurti Vasút Zártkörűen Működő Részvénytársaság
MATCHED:     | 110043489.xml | 3193 | BIS Rt. | BIS Csődgondnok és Tanácsadó zártkörűen működő Részvénytársaság
MATCHED:     | 909003015.xml | 1769 | Infra-Start Kft. | INFRA Kereskedelmi, Ipari és Szolgáltató Korlátolt Felelősségű TársaságINFRA-START Kereskedelmi, Ipari és Szolgáltató Korlátolt Felelősségű Társaság "felszámolás alatt "
MATCHED:     | 809000428.xml | 5420 | Alfa-Girod Kft. | ALFA-GIROD Forgalomtechnikai Korlátolt Felelősségű Társaság
MATCHED:     | 109712644.xml | 1803 | CEU Tender Kft. | CEU TENDER Tanácsadó és Szolgáltató Kft.
MATCHED:     | 110041531.xml | 1937 | Fázis Rt. | FÁZIS Vállalkozásszervező és Tanácsadó Zártkörűen Működő Részvénytársaság "felszámolás alatt "
MATCHED:     | 1309071214.xml | 1058 | Poszeidon Kft. | POSZEIDON 1995. Könyvelő, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 309109935.xml | 6272 | Babud és Társa Kft. | BABUD ÉS TÁRSA Építőipari, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 709004729.xml | 6374 | SZAKÁLY Kereskedelmi és Szolgáltató Kft. | "Szakály" Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1009025197.xml | 3421 | Zöld Kert Magyarország Kft. | ZÖLD KERT MAGYARORSZÁG Mezőgazdasági és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 609006214.xml | 4338 | HPQ Kft. | HPQ Építőipari és Minőségbiztosítási Tanácsadó Kft.
MATCHED:     | 109674759.xml | 2339 | AssistConsult Kft. | AssistConsult Üzleti Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 1909500266.xml | 518 | Ajkai Alumíniumipari Kft. | Ajkai Timföld Korlátolt Felelősségű Társaság
MATCHED:     | 109681976.xml | 6836 | BUDMÁRK Kereskedelmi és Szolgáltató Kft. | BUDMÁRK Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1309113615.xml | 2912 | VMI Capital Befektetési Kft. | VMI Capital Befektetési Korlátolt Felelősségű Társaság
MATCHED:     | 510000050.xml | 5235 | Középület és Lakásépítő ZRt | Középület és Lakásépítő Zártkörűen Működő Részvénytársaság
MATCHED:     | 109735717.xml | 1283 | Várkert Bazár | VÁRKERT BAZÁR Ingatlanfejlesztő Korlátolt Felelősségű Társaság
MATCHED:     | 109926769.xml | 5360 | Hevestherm Kivitelező Kft. | HEVESTHERM Kivitelező Korlátolt Felelősségű Társaság
MATCHED:     | 110044769.xml | 5164 | Inter-Computer-Informatika Zrt. | INTER-COMPUTER-INFORMATIKA Számítástechnikai és Kereskedelmi Zártkörűen Működő Részvénytársaság
MATCHED:     | 109065890.xml | 3364 | Közlekedés Fővárosi Tervező Iroda Kft. | "KÖZLEKEDÉS" Fővárosi Tervező Iroda Korlátolt Felelősségű Társaság
MATCHED:     | 109881881.xml | 3292 | Easy Invest Kft. | Easy Invest Befektetési, Szolgáltató és Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 109075778.xml | 579 | Álom Sziget 2004 Kft. | ÁLOM SZIGET 2004 Ingatlanfejlesztő Korlátolt Felelősségű Társaság
MATCHED:     | 1709002830.xml | 6965 | Alpiszig 97' Kft. | ALPISZIG 97 Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109697598.xml | 4598 | Adria-Duna Trade Kft. | Adria-Duna Trade Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1109015595.xml | 4681 | Roma Foglalkoztató és Oktatásszervező Közhasznú Nonprofit Kft. | Roma Foglalkoztató és Oktatásszervező Közhasznú Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 109663607.xml | 2157 | Rostás és Társa Kft. | Rostás és Társa Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109734961.xml | 7286 | T.D.K. Lux Kft. | T. D. K. LUX Ipari, Szolgáltató, Kereskedelmi és Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 110045917.xml | 6891 | „KSZI” Központi Szakképzési Intézet Nonprofit Zrt. | "KSZI" Központi Szakképzési Intézet Nonprofit Közhasznú Zártkörűen Működő Részvénytársaság
MATCHED:     | 609009697.xml | 6073 | AGROÁZIS Nemzetközi Kereskedelmi Kft. | AGROÁZIS Nemzetközi Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 710001087.xml | 4179 | Cerbona zrt | Cerbona Élelmiszeripari és Kereskedelmi Zártkörűen Működő Részvénytársaság "felszámolás alatt"
MATCHED:     | 709009689.xml | 20461 | ENERGOTT Fejlesztő és Vagyonkezelő Korlátolt Felelősségű Társaság | ENERGOTT Fejlesztő és Vagyonkezelő Korlátolt Felelősségű Társaság
MATCHED:     | 709002072.xml | 1882 | Euro-Mobil Kft. | "EURO-MOBIL" Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 409005016.xml | 7641 | Bereczki Kft. | "Bereczki és Társai" Mezőgazdasági, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109712721.xml | 3416 | Folyóvölgy Szolgáltató Kft. | FOLYÓVÖLGY Szolgáltató Korlátolt Felelősségű TársaságFOLYÓVÖLGY Szolgáltató Korlátolt Felelősségű Társaság "felszámolás alatt"
MATCHED:     | 1609005843.xml | 6593 | Csüllög és Társa Kft. | CSÜLLÖG és FIA Vendéglátóipari Korlátolt Felelősségű Társaság
MATCHED:     | 609011654.xml | 6706 | Szegedi Szabadtéri Játékok és Fesztivál Szervező Nonprofit Kft. | Szegedi Szabadtéri Játékok és Fesztivál Szervező Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 509002232.xml | 3775 | Műépítész Építészeti Tervezőiroda Kft. | MŰÉPÍTÉSZ Építészeti Tervezőiroda Korlátolt Felelősségű Társaság
MATCHED:     | 110043804.xml | 1522 | Magyar Lapterjesztő Rt. | Magyar Lapterjesztő Zártkörűen Működő Részvénytársaság
MATCHED:     | 2009061792.xml | 15950 | Kröpfel És Társai Kft. | Kröpfel és Társai Mezőgazdasági, Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109162830.xml | 3631 | Tradux Kft. | TRADUX Idegennyelvű Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110042028.xml | 2852 | ARK Rt. | ARK Vagyonkezelő Zártkörűen Működő Részvénytársaság
MATCHED:     | 109062494.xml | 1648 | Cemex Hungária Kft. | CEMEX Hungária Építőanyagok Korlátolt Felelősségű Társaság
MATCHED:     | 1409309962.xml | 933 | Multiply Consulting Kft. | MULTIPLY Consulting Fejlesztési, Gazdasági és Stratégiai Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 109564252.xml | 7285 | Hofeka Kft. | HOFEKA Elektromos Ipari és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109735328.xml | 3577 | K.O. Média Kft. | K. O.-média Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1506086742.xml | 1898 | Oki-tok Bt. | OKI-TOK Oktatási és Kereskedelmi Betéti Társaság
MATCHED:     | 109868869.xml | 3002 | Strategopolis Kft. | STRATEGOPOLIS Stratégiai elemző és kommunikációs tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 109168050.xml | 4573 | MÁV Tervező Intézet Kft. | MÁV Tervező Intézet Korlátolt Felelősségű Társaság
MATCHED:     | 109712299.xml | 1041 | APSA Tanácsadó Kft. | APSA Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 109060958.xml | 1982 | Biotrade Kft. | BIOTRADE Mezőgazdasági Termelő, Kereskedelmi és Szolgáltató Kft felszámolás-alatt
MATCHED:     | 1910500058.xml | 505 | HM Verga Zrt. | HM VERGA VESZPRÉMI Erdőgazdaság Zártkörűen Működő Részvénytársaság
MATCHED:     | 1409304779.xml | 1526 | Fonyódi Lakásépítő Kft. | "FONYÓDI LAKÁSÉPÍTŐ" Építő, Üzemeltető és Szolgáltató Korlátolt Felelősségű Társaság
